datetime,temperature
2025-09-28T00:08:49+03:00,15
2025-09-28T00:08:59+03:00,32
2025-09-28T00:09:09+03:00,18
2025-09-28T00:09:19+03:00,21
2025-09-28T00:09:29+03:00,24
2025-09-28T00:09:39+03:00,21
2025-09-28T00:09:49+03:00,38
2025-09-28T00:09:59+03:00,39
2025-09-28T00:10:09+03:00,8
2025-09-28T00:10:19+03:00,0
2025-09-28T17:17:03+03:00,12
2025-09-28T17:17:13+03:00,30
2025-09-28T17:17:23+03:00,24
2025-09-28T17:17:33+03:00,30
2025-09-28T17:17:43+03:00,1
2025-09-28T17:17:53+03:00,29
2025-09-28T17:18:03+03:00,1
2025-09-28T17:18:13+03:00,38
2025-09-28T17:18:23+03:00,27
2025-09-28T17:18:33+03:00,11
2025-09-28T17:18:43+03:00,22
2025-09-28T17:18:53+03:00,33
2025-09-28T17:19:03+03:00,33
2025-09-28T17:19:13+03:00,11
2025-09-28T17:19:23+03:00,34
2025-09-28T17:19:33+03:00,30
2025-09-28T17:19:43+03:00,24
2025-09-28T17:19:53+03:00,6
2025-09-28T17:20:03+03:00,14
2025-09-28T17:20:13+03:00,4
2025-09-28T17:20:23+03:00,37
2025-09-28T17:20:33+03:00,20
2025-09-28T17:20:43+03:00,2
2025-09-28T17:20:53+03:00,33
2025-09-28T17:21:03+03:00,5
2025-09-28T17:21:13+03:00,2
2025-09-28T17:21:23+03:00,18
2025-09-28T17:21:33+03:00,11
2025-09-28T17:21:43+03:00,26
2025-09-28T17:21:53+03:00,24
2025-09-28T17:22:03+03:00,19
2025-09-28T17:22:13+03:00,7
2025-09-28T17:22:23+03:00,22
2025-09-28T17:22:33+03:00,35
2025-09-28T17:22:43+03:00,15
2025-09-28T17:22:53+03:00,14
2025-09-28T17:23:03+03:00,8
